 *----------------------------------------------------* 
 |       ***	 Operation Timing Report 	***   |
 *----------------------------------------------------* 
 |   #  |   Operation                Duration (ms)    |
 | 182  |  Mode=3_t=1.50_threads=6_(75 X 75) 2508.05     |
 | 183  |  Mode=3_t=1.50_threads=7_(75 X 75) 2154.61     |
 | 184  |  Mode=3_t=1.50_threads=8_(75 X 75) 1998.43     |
 | 185  |  Mode=3_t=2.00_threads=1_(75 X 75) 16522.49    |
 | 186  |  Mode=3_t=2.00_threads=2_(75 X 75) 9179.33     |
 | 187  |  Mode=3_t=2.00_threads=3_(75 X 75) 6397.36     |
 | 188  |  Mode=3_t=2.00_threads=4_(75 X 75) 4890.27     |
 | 189  |  Mode=3_t=2.00_threads=5_(75 X 75) 4221.95     |
 | 190  |  Mode=3_t=2.00_threads=6_(75 X 75) 3521.11     |
 | 191  |  Mode=3_t=2.00_threads=7_(75 X 75) 3029.60     |
 | 192  |  Mode=3_t=2.00_threads=8_(75 X 75) 2822.35     |
 *----------------------------------------------------*
